Uid,r_id
12342,37583
12342,37950
12342,49853
12342,49957
12343,22576
12343,37583
12344,44481
12345,12805
12345,14045
12345,21893
12345,30243
12346,22745
12346,40644
12347,40659
12348,258
12348,46698
12348,46699
12349,20028
12350,28928
12351,48609
12352,965
12353,20991
12353,42189
12354,2773
12355,31050
12356,20379
12356,39847
9296,38113
12357,837
12358,31347
12359,12820
12360,8845
12361,19748
12361,29426
177,1420
177,2959
177,29464
177,36215
177,39351
12362,258
12362,647
12362,20189
12362,22259
12362,24833
12362,28580
12363,41477
12364,31347
12364,50190
12365,78
12366,29133
12366,33311
12366,37962
12367,22309
4300,29617
12368,41818
12368,48609
12369,34822
12369,37971
12370,630
12370,35089
12371,37951
12371,50614
12371,52289
12372,1112
12372,20189
12373,50240
12374,29919
12375,48644
12376,28473
12376,50001
10754,971
10754,20996
10754,31347
10754,40611
10754,50143
12377,22338
12378,20015
12378,33328
12378,44864
12379,51099
2721,837
12380,48132
12381,21406
12382,50776
12383,1112
12383,29426
12384,28145
12384,29673
12385,29461
12386,9242
12386,10696
12386,41935
12386,44783
12387,2736
12388,42189
12388,46560
12389,22667
12390,33594
4260,13782
12391,321
12391,18024
12391,20854
12391,26913
12391,39393
12391,52451
12392,51910
12393,38434
12393,40642
4249,46622
12394,420
12394,22706
12394,32381
12394,37679
12395,18198
12395,34273
12395,36963
12396,36885
12396,37962
12396,49012
12396,50002
5471,21330
5471,30606
5471,37583
5471,38291
5471,49801
2909,965
2909,40178
2909,45734
2909,50776
12397,20094
12397,47497
12398,22259
12399,32704
12399,37473
12399,49181
12400,40134
12401,47903
12402,44052
12403,420
12403,25364
12403,49093
12404,813
8311,152
8311,22259
8311,22576
8311,37583
6168,47391
12405,44052
12406,23029
12406,50001
12407,22259
1750,15990
1750,29665
1750,34139
12408,10696
12409,36879
12410,15990
12410,40134
12410,49012
12411,275
12411,32381
12412,37971
12413,47571
12414,655
12414,14446
12414,20854
12414,20942
12414,31393
12414,41477
12415,41477
12416,43312
12417,23368
12417,45290
12418,549
12418,14333
12418,20469
12418,48132
12418,50876
12419,20282
12419,22833
12419,32937
12419,33594
12419,50143
12420,19259
10711,549
10711,12602
10711,24826
12421,12275
12421,28473
12421,29617
12422,19975
12423,23028
12424,299
12425,22833
12425,29133
12425,29617
12426,20469
12426,21330
12426,30364
12426,49247
12427,37729
12428,35552
12429,2965
12430,21406
12430,29888
12430,48782
12431,50446
12431,52495
12432,42129
12433,2797
12434,35552
12435,21336
12436,24255
12437,269
12437,36215
12438,50001
12439,32951
12439,39756
12439,42669
12440,29617
12441,13398
12441,14483
12441,23356
12441,39986
12441,48233
12441,50876
12442,676
12442,36236
12443,28473
12443,50001
12444,48569
12445,20996
12445,21480
12445,29673
11485,341
11485,19060
11485,49957
12446,20898
12447,13398
12448,47962
12449,18327
12449,20942
12449,24833
12449,49437
12449,49957
12450,1369
12450,37583
8785,1369
8785,28580
8785,37583
8785,50776
12451,14083
12451,15247
12451,47472
12451,51021
12451,51960
12452,28580
12453,22593
12453,46698
12453,49127
12454,5639
12455,20941
12456,33296
12457,21182
12458,21335
12458,23721
12458,33594
12458,46735
12458,48118
12458,50819
12459,2652
12460,49012
12461,36767
8116,19982
8116,37583
8116,37962
12462,46858
12463,655
12464,49012
12465,20941
12466,23764
12466,35552
11443,20384
11443,37583
12467,1443
12468,34582
12469,22259
12469,41268
12470,29486
12471,33311
12472,22259
12473,37939
12474,38207
12475,7842
12476,645
12476,14333
12476,41818
12477,33328
12477,45004
12478,41843
12478,50351
12479,47391
12480,34582
12481,23764
12481,40792
6476,41762
6476,43312
6476,45319
6476,52087
12482,14333
12483,34582
12484,33311
12485,33594
12486,3052
12486,19477
12486,19982
12487,245
12487,30740
12488,19259
12489,7579
12490,21488
12491,41826
12492,26707
12493,44200
12494,20737
12495,39937
6445,239
6445,2949
6445,9885
6445,20282
6445,20384
6445,23048
6445,23353
6445,29133
6445,31469
6445,33594
6445,34273
6445,37952
6445,38011
6445,46622
6445,49012
6445,49074
6445,49717
12496,19259
12496,31393
12497,35651
12498,15955
12499,37583
12500,18024
12501,23473
12502,48118
12503,20639
12503,36337
12504,33573
12504,35552
12505,22833
12505,28473
12505,43994
12506,49012
12507,48118
12508,9795
12508,44285
12508,45004
12509,4167
12509,45019
12510,21453
12511,22375
12512,39694
12513,41262
12514,29133
12515,45004
12516,19060
12517,20282
12517,21182
12518,20942
766,19060
766,31397
12519,49012
12520,50001
5746,38434
12521,341
12521,632
12521,22375
12521,50271
12522,10696
12523,245
12523,28928
12524,29662
12525,8845
12526,447
12527,45004
12527,48569
12528,341
12528,12820
12529,12602
12529,31397
12529,36236
12529,37583
12529,38760
12529,48828
12530,37295
12531,40930
12532,34946
12533,655
12533,23028
12533,41089
12534,20282
12534,23764
4319,26921
3622,19636
2036,32839
2036,44052
12535,20282
12536,20330
12536,23353
12537,14167
12537,15990
12537,21453
12537,22219
12537,23473
12537,25364
12538,9875
12539,27113
12540,42549
12541,30022
12542,24746
11545,43312
12543,2883
12544,28928
12544,29617
12545,44864
12545,50927
12546,32380
12547,37583
12548,21480
12549,33311
12550,793
12550,3020
12550,42219
12550,52087
12551,29617
12552,1369
12552,23721
12553,39344
12554,48609
12554,49012
12555,555
12555,20991
12556,28580
12556,37726
12556,49957
12557,49012
12558,32257
12559,19636
12559,19982
12559,20854
12559,32218
12560,7547
12560,12275
12560,27113
12561,22175
12561,35669
12562,35552
12563,2736
12564,36418
12565,31393
12565,37583
12566,28462
12567,31923
12568,19975
12569,40611
12570,19882
12570,31393
12570,50414
12571,7287
12572,2767
12573,2999
12573,48118
10233,40611
12574,45004
8271,20941
8271,28441
3856,12997
3856,42295
3856,47546
12575,2881
12575,51857
4560,20282
4560,32326
4560,33195
4560,35552
4560,37962
4560,42137
4560,45004
4560,46622
12576,50143
12577,44828
12578,2868
1728,788
1728,20094
1728,21912
1728,29673
1728,32381
1728,38291
12579,32441
12580,50066
12581,37962
12582,9795
12582,32635
12583,676
12584,44052
12584,49012
12585,28580
12585,37556
12585,37726
12586,354
12586,20996
12586,21336
12586,26913
12586,40134
12587,41935
12588,45004
12589,200
12590,36879
12591,268
12591,20469
12591,29888
12591,48132
12592,33195
11526,50776
12593,1317
12593,20275
12593,20517
12593,32218
12593,34505
12593,38207
12593,41232
12593,49746
12593,50414
12593,50943
12594,29133
12595,20298
12595,21480
12596,22175
12596,29486
12596,33311
12596,36963
12596,49012
12596,50002
12596,50143
12597,16246
12597,20996
12597,21481
12598,33594
12598,50001
12599,29133
12599,37962
12600,1369
12601,22833
12602,221
12602,41818
12603,20282
12604,41477
12605,28473
12606,1368
12606,34582
12607,189
12608,49181
12609,675
12610,2868
12611,14446
12612,30695
5597,26913
5597,33311
5597,37962
12613,38926
12614,36879
12615,44052
12616,2652
12616,12596
12616,20369
12617,29425
12618,29486
12619,28473
12620,25425
12620,45869
12620,48870
12621,19636
12622,35552
12623,49012
12623,50996
12624,20469
12624,22375
12625,838
12625,42843
12626,49801
12627,20862
12627,37583
12627,39351
12628,32578
12629,21088
12629,22175
12629,35669
12630,837
12631,28928
12632,20996
12633,49957
12634,34582
12635,47878
12636,21481
12636,32218
12637,837
12637,32578
12637,34582
12638,20276
12638,23201
12639,37583
10422,21590
12640,48569
12641,16246
12641,29426
12642,21335
12643,21335
12644,22593
12645,50481
12646,44971
12647,20517
12647,34988
12647,48782
1060,1368
1060,20097
1060,20298
1060,23353
1060,24746
1060,37583
1060,45004
12648,490
12648,20369
12649,29950
12649,37934
12649,39174
12649,40130
12650,793
12650,1369
12650,20282
12650,22175
12650,46622
6055,666
6055,2687
6055,2987
6055,21922
6055,22286
6055,32951
6055,36433
12651,36879
12652,37974
12652,45004
12653,32635
12654,12820
12654,15247
12654,40134
12655,883
12655,22992
12655,30022
12655,34275
12655,46699
12655,47903
12656,35651
12657,405
12658,9256
12658,24769
1562,19060
12659,37962
12660,1015
12661,424
12662,41067
12663,8192
12664,37361
12664,51857
12665,49012
12666,22125
12666,23764
12666,32441
12666,32635
12666,42129
12667,41843
12668,20996
12669,27113
12670,7704
6509,32441
12671,78
12671,321
12671,543
12671,19060
12671,19695
12671,22259
12671,22593
12671,29680
12671,49746
12672,9774
12672,15247
12672,21480
12672,38492
12673,52289
12674,25736
12675,555
12675,37720
12675,40288
12676,21182
